Name;Kurzel;Hauptstadt;Flaeche;Einwohner1980;Einwohner1990;Einwohner2000;Einwohner2010;Einwohner2014
Aargau;AG;Aarau;1.404;453.442;507.508;547.493;611.466;645.277
Appenzell Ausserrhoden;AR;Herisau;243;47.611;52.229;53.504;53.017;54.064
Appenzell Innerrhoden;AI;Appenzell;173;12.844;13.87;14.618;15.688;15.854
Basel-Landschaft;BL;Liestal;518;233.447;248.484;259.374;274.404;281.301
Basel-Stadt;BS;Basel;37;203.915;199.411;188.079;184.95;190.58
Bern;BE;Bern;5.941;898.397;943.196;957.197;979.802;1009.418
Freiburg;FR;Fribourg;1.671;185.246;213.571;241.706;278.493;303.377
Genf;GE;Genf;282;349.04;379.19;413.673;457.715;477.385
Glarus;GL;Glarus;685;36.718;38.508;38.183;38.608;39.794
Graubünden;GR;Chur;7.105;164.641;173.89;187.058;192.621;195.886
Jura;JU;Delsberg;836;64.986;66.163;68.224;70.032;72.41
Luzern;LU;Luzern;1.493;296.159;326.268;350.504;377.61;394.604
Neuenburg;NE;Neuenburg;803;158.368;163.985;167.949;172.085;177.327
Nidwalden;NW;Stans;276;28.617;33.044;37.235;41.024;42.08
Obwalden;OW;Sarnen;490;25.865;29.025;32.427;35.585;36.834
Schaffhausen;SH;Schaffhausen;298;69.413;72.16;73.392;76.356;79.417
Schwyz;SZ;Schwyz;908;97.354;111.964;128.704;146.73;152.759
Solothurn;SO;Solothurn;791;218.102;231.746;244.341;255.284;263.719
St. Gallen;SG;St. Gallen;2.026;391.995;427.501;452.837;478.907;495.824
Thurgau;TG;Frauenfeld;991;183.795;209.362;228.875;248.444;263.733
Tessin;TI;Bellinzona;2.812;265.899;282.181;306.846;333.753;350.363
Uri;UR;Altdorf;1.077;33.883;34.208;34.777;35.422;36.008
Wallis;VS;Sion;5.225;218.707;249.817;272.399;312.684;331.763
Waadt;VD;Lausanne;3.212;528.747;601.816;640.657;713.281;761.446
Zug;ZG;Zug;239;75.93;85.546;100.052;113.105;120.089
Zürich;ZH;Zürich;1729;1122.839;1179.044;1247.906;1373.068;1446.354
